Unnamed: 0,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density,
113,cola light coca cola,0,0,0,0,0,0,0,0,0,0,0.087,336.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
114,lemon lime soda,151,0,0,0,0,38.4,37.6,0.3,0,0,0.024,330.2,0,0,0,0,0,0.055,0,0,0,0,0,0,7.4,0,0.061,3.7,0,0,3.7,0,0.065,46.113,
115,tonic water,114,0,0,0,0,29.6,29.6,0,0,0,0.049,306.1,0,0,0,0,0,0,0,0,0,0,0,0,3.4,0.031,0.09,0,0.05,0,0,0,0.3,33.038,
116,lemonade low calorie,7,0,0,0,0,1.6,0,0.092,0,0,0.013,236.8,0,0,0,0,0,0,0,0,7.6,0,0,0,66.9,0.04,0.1,2.4,0.057,31.1,2.4,0,0.011,76.216,
117,ginger ale,68,0,0,0,0,17.5,17.4,0,0,0,0.043,182.5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.024,0.4,2,0.087,0,2,0.078,17.528,
118,ice tea lemon flavor nestle,88,0,0,0,0,22.3,22.3,0,0,0,0.063,223.4,0,0,0,0,0,0,0,0,0,0,0,0,7.4,0.068,0,2.5,0.3,88.2,46.6,0,0.1,29.7,
119,sprite coca cola,80,0.063,0,0,0,20.3,18,0.1,0,0,0.021,179.6,0,0,0,0,0,0,0.032,0,0,0,0,0,0,4,0.042,0.2,2,0.017,0,2,0,20.538,
120,cola coca cola,151,0,0,0,0,38.9,38.9,0,0,0,0.045,329.8,0,0,0,0,0,0,0,0,0,0,0,0,7.4,0,0.048,0,0,40.5,11,0.045,0.052,46.4,
121,cola,74,0.07,0,0,0,19.1,17.9,0.1,0,0,0.072,180.6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.012,0.2,0,0.081,20,4,0.038,19.336,
122,cream soda,252,0,0,0,0,65.7,65.7,0,0,0,0.098,428.3,0,0,0,0,0,0,0,0,0,0,0,0,24.7,0.036,0.2,4.9,0.08,0,4.9,0,0.3,90.6,
123,club soda,0,0,0,0,0,0,0,0,0,0,0.046,199.8,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.015,0.078,2,0.052,0,4,0,0.025,
124,pink lemonade,86,0.3,0.079,0.03,0.034,21.6,20.6,0.1,0.2,0,0.01,177.8,0,0.003,0.078,0,0,0.047,0.035,0.061,6.2,0,0.062,0,8,0.011,0.092,4,0.094,4,34,0,0.093,36.488,
125,grape soda,160,0,0,0,0,41.7,0,0,0,0,0.042,330.3,0,0,0,0,0,0,0,0,0,0,0,0,11.2,0.038,0.3,3.7,0.054,0,3.7,0,0.3,53.2,
126,cola without caffeine coca cola,151,0,0,0,0,38.9,38.9,0,0,0,0.04,329.8,0,0,0,0,0,0,0,0,0,0,0,0,7.4,0,0.026,0,0,40.5,11,0.063,0.032,46.381,
127,white lemonade,80,0.003,0.093,0.024,0.076,20.8,20,0.1,0,0,0.02,178.7,0,0,0.004,0.043,0,0.02,0.094,0.094,0.007,7.8,0,0.04,0,8,0.013,0.3,4,0.083,4,30,0.066,21.02,
128,chocolate soda,207,0,0,0,0,52.6,52.6,0,0,0,0.031,438.9,0,0,0,0,0,0,0,0,0,0,0,0,19.7,0.022,0.5,4.9,0.2,4.9,246,0.015,0.8,72.8,
129,sweet tea lipton,130,0,0,0,0,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,
130,hibiscus tea,74,1.3,0.5,0.2,0.04,14.8,12,0.9,0.6,0,0.091,179.3,0,2.6,0.03,0,0.2,0,0,0,36.8,0,0,0,2,0.1,17.3,2,0,6,18,0,0.2,73.7,
131,instant lemon tea,2,0,0,0,0,0.3,0.047,0.1,0,0,0.046,199.2,0,0,0,0,0,0.003,0.023,0.06,0.009,0,0,0,0,6,0.026,0.02,4,0.8,2,36,0,0.494,
132,pesca tea santal,116,0,28.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
133,instant lemon tea sweetened,91,0.2,0.018,0.046,0.093,22.3,21.6,0.071,0.3,0,0.089,236.2,0,0.083,0,0,0,0.006,0,0.044,0,0,0,0,5.2,0.076,0,2.6,0.3,0,38.9,0.017,0.048,28.147,
134,tea with milk and sugar yorkshire,15,0.5,0.3,0.7,0.7,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,
135,tea blueberry muffin tekanne,4,0.2,0.2,0.6,0.4,0.4,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,
136,chamomile tea,2,0,0.028,0.032,0.073,0.4,0,0,0,0,0.003,199.4,0,0.06,0.05,0,0.022,0,0.027,0,0,0,0,0,4,0.097,0.2,2,0.078,0,18,0,0.006,4.6,
137,black tea,2,0,0.072,0.032,0.029,0.7,0,0,0,0,0.091,236.3,0,0,0.041,0,0.018,0,0.04,0,0,0,0,0,0,0.088,0.088,7.1,0.5,2.4,87.7,0,0.081,0.72,
138,herb tea,2,0,0.014,0.043,0.071,0.4,0,0,0,0,0.064,199.4,0,0.007,0.093,0,0.051,0,0.096,0,0,0,0,0,4,0.059,0.2,2,0.019,0,18,0,0.006,4.6,
139,clam tomato juice,80,0.3,0,0,0,18.2,5.5,1,0.7,0,0.6,145.1,0,0.015,0.079,0,0.064,0.4,0.1,0.1,8.3,0,0.2,0,13.3,0.011,0.2,8.3,0.073,18.3,147.7,0.097,0.1,42,
140,tomato juice,41,0.7,0.043,0.062,0.043,8.6,6.3,2.1,1,0,0.063,229,0,0.069,0.2,0.003,0,0.2,1.6,0.6,0.2,170.3,0,0.8,0.056,24.3,0.1,0.9,26.7,0.2,46.2,527.3,0.067,12.742,
141,vegetable juice,53,0.2,0.071,0.016,0.1,11.1,7.9,1.5,1.9,0,0.1,226.3,0,0,0.095,0.039,0,0.091,1.8,0.6,0.3,67,0,0.8,0.007,26.6,0.5,1,26.6,0.2,41.1,467.1,0.026,15.538,
142,tomato vegetable juice,53,0.2,0.014,0.014,0.1,11.1,9.2,1.5,1.9,0,0.2,226.3,0,0.034,0.047,0,0.097,1.8,0,0.3,67,0,0.8,0.085,26.6,0.5,1,26.6,0,41.1,467.1,0.046,0.5,109.3,
143,carrot juice,80,0.3,0.055,0.027,0.1,18.6,7.8,1.9,1.6,0,0.1,177.7,0,0.2,0.077,0,0.1,0.8,0.5,0.4,17,0,2.3,0.047,48,0.087,0.9,28,0.3,84,584,0.046,0.4,88.3,
144,acorn dried,144,8.9,1.2,5.6,1.7,15.2,0,2.3,0,0,0,1.4,0,0.005,0.085,0,0.021,0.7,0.3,0.2,0,0,0,0,15.3,0.2,0.3,23.2,0.4,29.1,200.6,0,0.2,42,
145,fenugreek seeds,36,0.7,0.2,0,0,6.5,0,2.6,2.7,0,0.09,1,0,0.036,0.046,0,0.019,0.2,0,0.064,0.3,0,0,0,19.5,0.1,3.7,21.2,0.1,32.9,85.5,0.025,0.3,36,
146,peanut topping mcdonalds,181,15,2.4,7.3,4,4.6,1.2,7.9,0,0,0,0.2,0,0.07,0.015,0,0.099,4.7,0.3,0.2,0,0,2.3,0,13,0.1,0.4,54.6,0.6,103,179.4,0,0.8,40.9,
147,beechnuts dried,173,15,1.7,6.6,6,10.1,0,1.9,0,0,0.068,2,0,0.053,0.087,0,0.1,0.3,0.3,0.2,4.7,0,0,0,0.3,0.2,0.7,0,0.4,0,305.1,0,0.1,32.7,
148,breadnut tree seeds raw,61,0.3,0.089,0.061,0.1,13.1,0,1.7,0,0,0.084,12.7,0,0.04,0.077,0,0.053,0.2,0.3,0.1,7.8,0,0,0,27.7,0.4,0.6,19.2,0.015,19,334.8,0,0.3,51.2,
149,cumin seeds,8,0.5,0.096,0.3,0.013,0.9,0.063,0.4,0.2,0,0.073,0.2,0,0.079,0.015,0,0.093,0.064,0,0.021,0.2,0,0.096,0.001,19.6,0.058,1.4,7.7,0.087,10.5,37.5,0.072,0.1,23.2,
150,pili nuts dried,86.3,9.55,3.74,4.47,0.91,0.48,0,1.3,0,0,0.0014,0.33,0,0.11,0.0066,0,0.01,0.06,0.06,0.01,0.07,0,0,0,17.4,0.11,0.42,36.24,0.28,69,60.84,0,0.36,29.22,
151,hazelnuts roasted,194,18.7,1.4,14,2.5,5.3,1.5,4.5,2.8,0,0,0.8,0,0.1,0.031,0,0.074,0.6,0.3,0.2,1.1,0,4.6,0,36.9,0.5,1.3,51.9,1.7,93,226.5,0.061,0.8,70.6,
152,lupins cooked,193,4.8,0.6,2,1.2,15.4,0,25.8,4.6,0,0.4,118,0,0.2,0.083,0,0.071,0.8,0.3,0.016,1.8,0,0,0,84.7,0.4,2,89.6,1.1,212.5,406.7,0.084,2.3,139.1,
153,hazelnuts blanched,178,17.3,1.3,13.6,1.6,4.8,1,3.9,3.1,0,0,1.6,0,0.1,0.021,0,0.049,0.4,0.2,0.2,0.6,0,5,0,42.2,0.5,0.9,45.3,3.6,87.7,186.2,0.015,0.6,72.8,
154,brazilnuts dried,33,3.3,0.8,1.2,1,0.6,0.1,0.7,0.4,0,0.073,0.2,0,0.079,0.035,0,0.013,0.083,0.051,0.041,0.024,0,0.3,0,8,0.074,0.1,18.8,0.084,36.3,33,0.035,0.2,13.139,
155,sunflower seeds dry roasted,47,4,0.4,0.8,2.6,1.9,0.2,1.5,0.9,0,0.067,0.076,0,0.087,0.072,0,0.086,0.6,0.6,0.01,0.1,0,2.1,0.037,5.6,0.1,0.3,10.3,0.2,92.4,68,0.021,0.4,14.3,
156,ginkgo nuts canned,172,2.5,0.5,0.9,0.9,34.3,0,3.5,14.4,0,0.5,113.1,0,0.2,0.06,0,0.052,5.6,0.2,0.3,14.1,0,0,0,6.2,0.3,0.4,24.8,0.1,83.7,279,0.067,0.3,75.4,
157,peanuts cooked,572,39.6,5.5,19.7,12.5,38.3,4.4,24.3,15.8,0,1.4,75.2,0,0.5,0.1,0,0.1,9.5,1.5,0.3,0,0,7.4,0,99,0.9,1.8,183.6,1.8,356.4,324,0.027,3.3,218.8,
158,pumpkin squash seeds dried,72.1,6.33,1.12,2.1,2.71,1.38,0.18,3.9,0.77,0,0.0013,0.67,0,0.04,0.0024,0,0.02,0.64,0.1,0.02,0.25,0,0.28,0.003,5.93,0.17,1.14,76.37,0.59,159.06,104.36,0.0078,1.01,19.7,
159,cashew nuts raw,156,12.4,2.2,6.7,2.2,8.5,1.7,5.2,0.9,0,0.02,1.5,0,0.1,0.076,0,0.071,0.3,0.2,0.1,0.1,0,0.3,0.04,10.5,0.6,1.9,82.6,0.5,167.8,186.8,0.039,1.6,39.5,
160,sunflower seeds dried,269,23.7,2,8.5,10.6,9.2,1.2,9.6,4,0,0.014,2.2,0,0.7,0.1,0,0.2,3.8,0.5,0.6,0.6,0,16.2,0,35.9,0.8,2.4,149.5,0.9,303.6,296.7,0.077,2.3,85.4,
161,lotus seeds dried,106,0.6,0.1,0.1,0.4,20.6,0,4.9,0,0,0.024,4.5,0,0.2,0.019,0,0.059,0.5,0.3,0.2,0,0,0,0,52.2,0.1,1.1,67.2,0.7,200.3,437.8,0,0.3,79.4,
162,butternuts dried,73.4,6.84,0.16,1.25,5.13,1.45,0,2.99,0.56,0,0.0062,0.4,0,0.05,0.0088,0,0.02,0.13,0.08,0.07,0.38,0,0,0,6.36,0.05,0.48,28.44,0.79,53.52,50.52,0.0028,0.38,19.06,
163,sesame seeds dried,52,4.5,0.6,1.7,2,2.1,0.031,1.6,1.1,0,0.049,0.4,0,0.037,0.05,0,0.057,0.4,0.082,0.096,0,0,0.099,0,87.8,0.4,1.3,31.6,0.2,56.6,42.1,0.047,0.7,98.4,
164,breadfruit seeds,57,1.7,0.5,0.2,0.9,8.8,0,2.2,1.6,0,0.04,16.9,0,0.1,0.095,0,0.066,0.1,0.3,0.024,2,0,0,0,10.8,0.3,1.1,16.2,0.049,52.5,282.3,0,0.3,28.2,
165,pinyon pine nuts dried,1,0.073,0.022,0.044,0.074,0.01,0,0.083,0.005,0,0.07,0.045,0,0.02,0.066,0,0.04,0.027,0,0.048,0.004,0,0,0,0.022,0.078,0.007,0.2,0.012,0.098,0.6,0,0.049,0.359,
166,pine nuts dried,90.9,9.23,0.66,2.53,4.6,1.77,0.48,1.85,0.5,0,0.0086,0.31,0,0.05,0.0018,0,0.03,0.59,0.04,0.01,0.11,0,1.26,0.0002,2.16,0.18,0.75,33.89,1.19,77.63,80.6,0.0061,0.87,16.37,
167,flaxseeds,55,4.3,0.4,0.8,3,3,0.2,1.9,2.8,0,0.035,0.7,0,0.2,0.015,0,0.095,0.3,0.1,0.056,0.023,0,0.042,0.053,26.3,0.1,0.6,40.4,0.3,66.1,83.7,0.05,0.4,38.994,
168,safflower seed kernels dried,146,10.9,1,1.4,8,9.7,0,4.6,0,0,0.042,1.6,0,0.3,0.055,0,0.1,0.6,1.1,0.3,0,0,0,0,22.1,0.5,1.4,99.9,0.6,182.3,194.4,0,1.4,48.7,
169,pistachio nuts raw,69.1,5.58,0.68,2.93,1.69,3.38,0.94,2.49,1.27,0,0.0037,0.48,0,0.11,0.0087,0,0.02,0.16,0.06,0.21,0.69,0,0.28,0,12.92,0.16,0.48,14.88,0.15,60.27,126.08,0.0078,0.27,26.81,
170,peanuts raw,82.8,7.19,1,3.57,2.27,2.35,0.58,3.77,1.24,0,0.0038,0.95,0,0.09,0.04,0,0.02,1.76,0.26,0.05,0,0,1.22,0,13.43,0.17,0.67,24.53,0.28,54.9,102.93,0.0032,0.48,28.65,
171,poppy seeds,46,3.7,0.4,0.5,2.5,2.5,0.3,1.6,1.7,0,0.079,0.5,0,0.034,0.044,0,0.04,0.069,0.071,0.09,0.061,0,0.2,0,126.5,0.1,0.9,30.5,0.6,76.6,63.3,0.059,0.7,136.934,
172,valencia peanuts raw,83.2,6.95,1.07,3.13,2.41,3.05,0,3.66,1.27,0,0.0094,0.62,0,0.09,0.04,0,0.04,1.88,0.26,0.05,0,0,0,0,9.05,0.17,0.31,26.86,0.29,49.06,48.47,0.0056,0.49,24.29,
173,spanish peanuts,83.2,7.24,1.12,3.26,2.51,2.31,0,3.82,1.39,0,0.0036,0.93,0,0.1,0.04,0,0.02,2.33,0.26,0.05,0,0,0,0,15.48,0.13,0.57,27.45,0.39,56.65,108.62,0.0077,0.31,30.81,
174,dill seeds,20,1,0.018,0.6,0.041,3.6,0,1.1,1.4,0,0.037,0.5,0,0.011,0.085,0,0.059,0.2,0,0.001,1.4,0,0,0,100.1,0.009,1.1,16.9,0.1,18.3,78.3,0.075,0.3,109.7,
175,caraway seeds,22,1,0.03,0.5,0.2,3.3,0.038,1.3,2.5,0,0.014,0.7,0,0.096,0.052,0,0.075,0.2,0,0.099,1.4,0,0.2,0,46.2,0.077,1.1,17.3,0.034,38.1,90.5,0.062,0.4,56.8,
176,acorn raw,110,6.8,0.9,4.3,1.3,11.5,0,1.7,0,0,0,7.9,0,0.016,0.06,0,0.045,0.5,0.2,0.1,0,0,0,0,11.6,0.2,0.2,17.5,0.4,22.4,152.5,0,0.1,31.8,
177,almonds roasted,182,16.6,1.3,10.4,4.1,5.3,1.4,6.4,3.2,0,0.029,0.8,0,0.055,0.032,0,0.2,1.1,0.049,0.065,0,0,7.8,0,87.3,0.3,1.1,82.2,0.7,139.8,209.7,0.017,0.9,119.9,
178,lotus seeds raw,25,0.1,0.097,0.011,0.002,4.9,0,1.2,0,0,0.02,21.8,0,0.073,0.052,0,0.07,0.1,0.088,0.074,0,0,0,0,12.5,0.079,0.3,15.8,0.2,47.5,103.9,0,0.043,19,
179,chestnuts cooked,37,0.4,0.016,0.1,0.2,7.9,0,0.6,0,0,0.046,19.3,0,0.095,0.099,0,0.053,0.2,0.046,0.021,7.6,0,0,0,13,0.1,0.5,15.3,0.2,28,202.3,0,0.02,30,
180,alfalfa seeds,1,0.075,0.029,0.067,0.057,0.002,0.058,0.1,0.015,0,0.048,2.8,0,0.065,0.008,0,0.078,0.02,0.051,0.021,0.2,0,0.036,0.042,1,0.048,0.034,0.8,0.024,2.1,2.4,0.076,0.071,1.435,
181,virginia peanuts roasted,173,14.6,1.9,7.6,4.4,6,0,7.8,2.7,0,0.018,0.7,0,0.066,0.061,0,0.022,4.4,0.4,0.099,0,0,0,0,25.8,0.4,0.5,56.4,0.6,151.8,195.6,0.006,2,57.4,
182,hazelnuts raw,471,45.6,3.3,34.2,5.9,12.5,3.3,11.2,7.3,0,0,4,0,0.5,0.034,0,0.022,1.4,0.7,0.4,4.7,0,11.3,0.097,85.5,1.3,3.5,122.3,4.6,217.5,510,0.012,1.8,170.3,
183,anise seeds,7,0.3,0.06,0.2,0.066,1.1,0,0.4,0.3,0,0.1,0.2,0,0.058,0.002,0,0.091,0.09,0.058,0.01,0.4,0,0,0,13.6,0.024,0.8,3.6,0.031,9.2,30.3,0.05,0.1,16.9,
184,macadamia nuts roasted,215,22.8,3.6,17.8,0.4,4,1.2,2.3,2.4,0,0.064,0.5,0,0.2,0.002,0,0.086,0.7,0.2,0.1,0.2,0,0.2,0,21,0.2,0.8,35.4,0.9,59.4,108.9,0.085,0.4,53.5,
185,studentenfutter alnatura,139,7.8,0.9,4.8,2,13.2,11.7,3.1,0.031,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.152,
186,pumpkin squash seeds roasted,46,3.9,0.7,1.3,1.6,1.2,0.1,2.4,0.5,0,0.045,0.2,0,0.046,0.041,0,0.046,0.4,0.02,0.012,0.1,0,0.049,0.002,4.2,0.1,0.6,44,0.4,93.9,63,0.05,0.6,12.9,
187,water chestnut raw,120,0.1,0.039,0.055,0.089,29.7,6,1.7,3.7,0,0.097,91.1,0,0.2,0.011,0,0.2,1.2,0.6,0.4,5,0,1.5,0.058,13.6,0.4,0.034,27.3,0.4,78.1,724.2,0.004,0.6,53.84,
188,chestnuts roasted,37,0.3,0.009,0.1,0.1,7.9,1.6,0.5,0.8,0,0.043,6.1,0,0.08,0.096,0,0.011,0.2,0.046,0.075,3.9,0,0.08,0.008,4.4,0.075,0.1,5,0.2,16.1,88.8,0.037,0.086,17.9,
189,ginkgo nuts raw,52,0.5,0.029,0.2,0.2,10.6,0,1.2,0,0,0.067,15.6,0,0.013,0.085,0,0.04,1.7,0.078,0.098,4.2,0,0,0,0.6,0.029,0.3,7.6,0.027,35.1,144.3,0,0.079,17.4,
190,almonds raw,9,0.7,0.04,0.5,0.2,0.3,0.026,0.3,0.2,0,0.043,0.026,0,0.079,0.073,0,0.066,0.052,0.068,0.029,0,0,0.4,0,4,0.007,0.082,4,0.007,7.3,10.6,0.013,0.061,5.554,
191,peanuts roasted,180,15.8,2.6,7.8,4.6,4.6,1.3,8.4,2.8,0,0.069,0.4,0,0.057,0.051,0,0.02,4.1,0.4,0.1,0.2,0,2.1,0,18.3,0.2,0.5,52.8,0.6,119.1,217.8,0.066,1,50.6,
192,sunflower seeds toasted,82.9,7.61,0.8,1.45,5.03,2.76,0,2.31,1.54,0,0.08,0.13,0,0.04,0.03,0,0.04,0.56,0.95,0.11,0.19,0,0,0,7.64,0.25,0.91,17.29,0.28,155.17,65.79,0.0066,0.71,22.96,
193,sisymbrium seeds,235,3.4,0.7,1.1,1.5,43.1,0,9,0,0,0.047,4.5,0,0.1,0.072,0,0.3,12.5,0.7,0.6,22.7,0,0,0,1208.4,0.052,0.098,232.4,1.1,4.4,1576.2,0,0.2,1286.643,
194,breadnut tree seeds dried,587,2.7,0.7,0.3,1.4,127,0,13.8,23.8,0,0.091,10.4,0,0.04,0.2,0,0.2,3.4,3,1.1,74.6,0,0,0,150.4,3.9,7.4,184,0.5,284.8,3217.6,0.011,3.1,399.7,
195,pecans raw,75.3,7.84,0.67,4.45,2.36,1.51,0.43,1,1.05,0,0,0.38,0,0.07,0.0019,0,0.01,0.13,0.09,0.02,0.12,0,0.15,0.0033,7.63,0.13,0.28,13.19,0.49,30.19,44.69,0.0039,0.49,19.43,
196,chia seeds dried,138,8.7,0.9,0.7,6.7,11.9,0,4.7,9.7,0,0.047,1.6,0,0.2,0.098,0,0.08,2.5,0,0,0.5,0,0.1,0,178.6,0.3,2.2,94.8,0.8,243.4,115.2,0.035,1.3,216.3,
197,japanese chestnuts roasted,57,0.2,0.08,0.1,0.094,12.8,0,0.8,0,0,0.079,14.1,0,0.1,0.022,0,0,0.2,0.1,0.1,7.9,0,0,0,9.9,0.2,0.6,18.1,0.6,26.3,120.8,0,0.4,32.2,
198,sesame seeds toasted,45,3.8,0.5,1.5,1.7,2.1,0,1.4,1.1,0,0.07,0.3,0,0.084,0.075,0,0.022,0.4,0.074,0.002,0,0,0,0,79.1,0.2,1.2,28.5,0.2,51,38,0.03,0.6,88.7,
199,cashew nuts roasted,174,14.3,2.5,7.8,2.6,9,1.5,5.1,1,0,0.091,0.7,0,0.1,0.08,0,0.025,0.5,0.3,0.056,0.071,0,0.3,0.041,12.9,0.6,1.8,81.9,0.5,159.3,189.6,0.02,1.6,44.12,
200,lupins raw,66.8,1.75,0.21,0.71,0.44,7.27,0,6.51,3.4,0,0.0009,1.88,0,0.12,0.06,0,0.04,0.39,0.14,0.06,0.86,0,0,0,31.68,0.18,0.78,35.64,0.43,79.2,182.34,0.009,0.86,52.25,
201,mustard seeds ground,10,0.7,0.012,0.5,0.2,0.6,0.1,0.5,0.2,0,0.017,0.1,0,0.072,0.093,0,0.02,0.093,0.018,0,0.1,0,0.1,0.086,5.3,0.055,0.2,7.4,0.078,16.6,14.8,0.003,0.1,7.6,
202,mixed nuts roasted,178,15.4,2,9.4,3.2,7.6,1.4,5.2,2.7,0,0.1,0.5,0,0.063,0.008,0,0.074,1.4,0.4,0.073,0.1,0,3.3,0.017,21,0.4,1.1,67.5,0.6,130.5,207.9,0.053,1.1,53.1,
203,salat mix alestro,61,5.2,0.9,0.1,0.3,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,
204,chestnuts raw,309,3.3,0.6,1.1,1.3,66,0,3.5,11.7,0,0.02,70.5,0,0.3,0.03,0,0.2,1.7,0.7,0.5,62.4,0,0,0,39.2,0.6,1.5,46.4,1.4,134.9,751.1,0,0.8,187.6,
205,pistachio nuts roasted,172,13.7,1.7,7.4,4,8.5,2.3,6.3,3.1,0,0.008,0.6,0,0,0.2,0.009,0,0.072,0.4,0.2,0.3,0.9,0,0.7,0.054,32.1,0.4,1.2,32.7,0.4,140.7,302.1,0.021,32.348,
206,walnut,33,3.3,0.3,0.4,2.4,0.7,0.1,0.8,0.3,0,0.041,0.2,0,0.064,0.004,0,0.037,0.075,0.029,0.018,0.037,0,0.06,0.029,4.9,0.058,0.1,7.9,0.2,17.3,22.1,0.06,0.2,10.109,
207,celery seeds,25,1.6,0.1,1,0.2,2.7,0.078,1.2,0.8,0,0.068,0.4,0,0.098,0.05,0,0.022,0.2,0,0.039,1.1,0,0.06,0,114.9,0.029,2.9,28.6,0.5,35.6,91,0.057,0.5,125.2,
208,hickorynuts dried,78.8,7.72,0.84,3.91,2.63,2.19,0,1.53,0.77,0,0.0053,0.32,0,0.1,0.0042,0,0.02,0.11,0.21,0.02,0.24,0,0,0,7.32,0.09,0.25,20.76,0.55,40.32,52.32,0.0038,0.52,20.02,
209,spanish peanuts roasted,85.1,7.21,1.11,3.24,2.5,2.57,0,4.12,1.31,0,0.06,0.26,0,0.05,0.02,0,0.01,2.2,0.2,0.04,0,0,0,0,14.7,0.1,0.34,24.7,0.35,56.89,114.07,0.0083,0.29,30.25,
210,woca seeds dried,102,0.3,0.025,0.044,0.059,22.6,0.1,2.2,5.4,0,0.048,2.6,0,0.029,0.092,0,0.042,1.2,0.4,0.3,0,0,10.1,0,7.6,0.041,0.4,24.3,0.3,64.8,156.5,0.021,1.8,38.5,
211,pecans roasted,215,22.6,2.2,12.3,7.1,3.9,1.2,2.8,2.9,0,0.062,0.3,0,0.1,0.053,0,0.02,0.4,0.2,0.071,0.2,0,0.8,0,20.1,0.4,0.7,36.3,1.1,78.9,117.6,0.004,1.3,53.2,
212,fennel seeds,7,0.3,0.008,0.2,0.065,1,0,0.3,0.8,0,0.097,0.2,0,0.021,0,0,0.092,0.1,0,0.045,0.4,0,0,0,23.9,0.051,0.4,7.7,0.1,9.7,33.9,0,0.042,27.1,
213,chinese chestnuts roasted,68,0.3,0.027,0.2,0.073,14.8,0,1.3,0,0,0.052,11.4,0,0.036,0.1,0,0.037,0.4,0.2,0.1,10.9,0,0,0,5.4,0.1,0.4,25.5,0.5,28.9,135,0,0.3,33.1,
214,watermelon seed kernels dried,60.2,5.12,1.06,0.8,3.03,1.65,0,3.06,0,0,0.01,0.55,0,0.02,0.0038,0,0.02,0.38,0.04,0.0032,0,0,0,0,5.83,0.07,0.79,55.62,0.17,81.54,69.98,0,1.11,16.45,
215,macadamia nuts raw,38,4,0.6,3.1,0.059,0.7,0.2,0.4,0.5,0,0.011,0.011,0,0.032,0.061,0,0.042,0.1,0.066,0.035,0.062,0,0.058,0,4.5,0.009,0.2,6.8,0.2,9.9,19.3,0.064,0.034,10.387,
216,pectin,163,0.2,0.052,0.093,0.076,45.2,0,0.2,4.3,0,0.1,4.4,0,0.042,0.025,0,0.021,0.017,0.023,0.063,0,0,0,0,3.5,0.2,1.4,0.5,0.094,1,3.5,0,0.2,54.8,
217,black walnut dried,31,3,0.2,0.8,1.8,0.5,0.018,1.2,0.3,0,0.028,0.2,0,0.014,0.083,0,0.097,0.036,0.056,0.067,0.032,0,0.091,0.029,3.1,0.071,0.2,10.1,0.2,25.7,26.2,0.046,0.2,8.347,
218,water chestnut canned,70,0.015,0.05,0.068,0.053,17.2,3.4,1.2,3.5,0,0.011,121,0,0.035,0.016,0,0.03,0.5,0.3,0.2,1.8,0,0.7,0.043,5.6,0.1,1.2,7,0.2,26.6,165.2,0.099,0.5,30.594,
219,ginkgo nuts dried,98,0.6,0.1,0.2,0.2,20.5,0,2.9,0,0,0.045,3.5,0,0.1,0.054,0,0.01,3.3,0.4,0.2,8.3,0,0,0,5.7,0.2,0.5,15,0.059,76.1,282.4,0,0.2,38.5,
220,virginia peanuts raw,82.2,7.12,0.93,3.69,2.15,2.41,0.58,3.68,1.24,0,0.0008,1.01,0,0.1,0.03,0,0.02,1.81,0.26,0.05,0,0,0.96,0,12.99,0.16,0.37,24.97,0.25,55.48,100.74,0.0042,0.65,27.81,
221,valencia peanuts roasted,177,15.4,2.4,6.9,5.3,4.9,0,8.1,2.7,0,0.004,0.6,0,0.052,0.003,0,0.068,4.3,0.4,0.072,0,0,0,0,16.2,0.3,0.5,48,0.5,95.7,183.6,0.046,0.9,47.8,
222,nesfit diet cereal nestle,75,0,14.5,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
223,corn grits cooked,182,1.2,0.2,0.2,0.4,37.9,0.3,4.4,2.1,0,0.6,213.1,0,0.2,0.002,0,0.1,2.1,0.1,0.1,0,0,0.03,0,2.6,0,1.5,18,0.008,51.4,69.4,0.052,0.5,49.7,
